/// BFPOS - BIG FORECASTING POSITIONING AND ORGANIZATION MODEL ///
:> #FFCC99
Date      Lat        Long
:> 01H.QANAAQ-ALAN
+0        13.6    -24.8
+6        14.1    -25.5
+12       14.8    -26.1
+18       15.2    -27.0
+24       15.7    -28.0
+30       16.2    -29.0
+36       16.7    -30.0 
+42       17.5    -30.9
+48       18.7    -31.2
+54       19.9    -31.5
+60       21.4    -31.5
+66       22.7    -31.5
+72       24.0    -31.1
+78       25.4    -30.5
+84       26.9    -29.9
+90       28.3    -29.3
+96       29.7    -28.7
:> 01N.ONE-N
+0        25.5    94.9
+6        27.1    94.7
+12       28.7    94.5
+18       30.3    94.8
+24       31.6    95.9
+30       33.3    97.1
+36       35.1    97.9 
+42       36.6    99.7
+48       38.1    101.6
+54       39.0    103.7
+60       39.9    105.8
+66       40.2    108.2
+72       41.2    110.5
+78       42.3    113.0
+84       44.0    115.4
+90       45.9    117.0
+96       47.5    119.3
:> END
