/// KCG - KILMARNOCK CYCLONE GENESIS MODEL ///
:> #362383
Date      Lat      Long
:> 90K.INVEST
+0        30.8    -61.3
+6        31.0    -61.5
+12       31.1    -61.7
+18       31.1    -61.9
+24       31.0    -62.5
+30       30.9    -63.4
+36       30.8    -64.7
+42       30.6    -65.3
+48       30.7    -66.8
+54       30.9    -67.1
+60       30.9    -68.7
+66       31.2    -69.2
+72       31.4    -69.0
+78       31.7    -68.9
+84       32.2    -68.8
+90       32.8    -68.5
+96       33.5    -68.0
:> END
