/// REA - RAEGA ENVIRONMENTAL AND ATMOSPHERICAL MODEL ///
:> #FFFF64
Date      Lat      Long
:> 02H.BERTHA
+0         6.2    -58.7
+6         6.7    -58.9
+12        6.9    -59.4
+18        7.2    -59.8
+24        7.5    -59.9
+30        7.9    -60.1
+36        8.6    -60.2
+42        8.8    -60.6
+48        9.0    -60.8
+54        9.4    -61.1
+60        9.8    -61.1
+66       10.2    -61.2
+72       10.4    -61.5
+78       11.7    -61.9
+84       11.9    -62.8
+90       12.2    -63.6
+96       12.5    -64.3
:> END
