/// SCTC - STEEL CITY TROPICAL CYCLONE MODEL ///
:> #00ffff
Date      Lat      Long
:> 01H.QANAAQ-ALAN
+0        28.1    -31.1
+6        30.5    -30.6
+12       32.0    -30.0
+18       35.0    -29.0 
+24       37.5    -28.0
:> 01G.ALAN
+0        6.0     -64.9
+6        6.4     -65.5
+12       7.0     -66.0
+18       7.2     -67.0
+24       7.8     -68.3
+30       8.3     -70.0 
+36       8.7     -71.7
+42       9.6     -73.0
+48       10.5    -75.0
+54       11.6    -76.7
+60       12.5    -78.5
+66       13.3    -80.1
+72       14.1    -82.0
+78       15.0    -83.8
+84       15.8    -86.2
+90       16.9    -88.8
+96       18.0    -89.9 
+108      20.2    -90.4
+114      22.0    -91.0
+120      25.0    -91.7
:> 02H.BERTHA 
+0        2.4     -54.5
+6        2.8     -55.3
+12       3.5     -56.1
+18       4.2     -56.9
+24       5.0     -57.5
+30       5.9     -57.0 
+36       6.8     -56.0 
+42       8.0     -55.5
+48       8.9     -55.0
+54       9.9     -54.4
+60       11.0    -53.8
+66       11.8    -53.3
+72       12.7    -52.8
+78       13.6    -52.2
+84       14.4    -51.6
+90       15.2    -51.0
+96       16.1    -50.7
+102      18.0    -49.5
+108      18.8    -48.3
+114      19.5    -47.0
+120      20.2    -45.7
:> END
