01N.ALEX 
Date	TS	HU	Wind	Press	Lat	Lon	
28/12	8	2	20	1008	10.1	90.8	1
29/00	10	2	20	1007	10.2	90.2	2
29/12	11	3	20	1006	10.4	89.6	3
30/00	12	3	20	1006	10.5	89.1	4
30/12	14	4	25	1005	10.8	88.5	5
31/00	16	4	25	1005	11	88.1	6
31/12	16	4	25	1003	11.2	87.7	7
01/00	16	4	35	999	11.6	87.4	8
01/06	48	14	40	998	12.1	87.1	8A
01/12	48	14	40	998	12.8	86.8	9
01/18	54	23	60	991	13.4	86.6	9A
02/00	57	25	65	988	14	86.5	10
02/06	58	28	65	986	14.6	86.3	10A
02/12	60	31	65	985	15.1	86.2	11
02/18	62	33	70	983	15.7	86.3	11A
03/00	65	40	75	980	16.5	86.1	12
03/06	67	44	80	979	16.9	86	12A
03/12	69	46	80	977	17.4	85.9	13
03/18	70	47	80	976	18	86.1	13A
04/00	72	49	85	974	18.6	86	14
04/06	71	48	85	975	19.1	86.3	14A
04/12	70	47	85	975	19.7	86.2	15
04/18	71	48	90	971	20.4	86	15A
05/00	69	46	85	972	20.9	86.3	16
05/06	70	45	100	974	21.4	86.5	16A
05/12	65	40	75	979	22.2	86.9	17
05/18	60	35	70	982	23	87.5	17A
06/00	20	4	60	986	23.8	88.2	18
06/06	4	1	50	991	24.4	88.6	18A
06/12	1	1	40	994	25.1	89.1	19
06/18	1	1	35	997	25.9	89.4	19A
07/00	1	1	30	1000	27	90.2	20
07/06	1	1	30	1002	27.9	90.9	20A
07/12	1	1	25	1006	29.1	92.1	21
07/18	1	1	25	1008	30.1	93	21A
