01T.AMY
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
12/00   20      LO      25      1006    -3.2    53.1   1
12/06   30      LO      25      1005    -3.4    52.9   1A
12/12   20      LO      20      1006    -3.5    52.7   2
12/18   40      LO      25      1007    -3.6    52.4   2A
13/00   60      LO      25      1007    -3.7    52.0   3
13/06   60      LO      25      1006    -3.8    51.5   3A
13/12   70      LO      25      1005    -4.0    51.1   4
13/18   80      LO      30      1004    -4.1    50.7   4A
14/00   80      20      30      1003    -4.2    50.3   5
14/06   80      20      50      1001    -4.3    49.7   5A
14/12   90      40      40      999     -4.5    49.1   6
14/18   100     50      50      995     -4.9    48.4   6A
15/00   100     70      60      991     -5.3    47.8   7
15/06   100     80      65      989     -5.6    47.5   7A
15/12   100     90      70      986     -6.0    47.2   8
15/18   100     100     80      980     -6.5    46.8   8A
16/00   100     100     85      976     -7.0    46.4   9
16/06   100     100     100     963     -7.6    46.0   9A
16/12   100     100     105     959     -8.1    45.7   10
16/18   100     100     125     942     -8.7    45.4   10A
17/00   100     100     130     937     -9.5    45.2   11
17/06   100     100     130     936     -10.4   45.0   11A
17/12   100     100     135     931     -11.4   44.9   12
+12     100    	100    	140    	929  	  -12.4   44.7   -
+24     100    	100    	135    	930  	  -13.4   44.5   -
+36     100    	100    	135    	932  	  -14.2   44.4   -
+60     100    	100    	130    	934  	  -14.9   44.4   -
+72     100    	100    	120    	939  	  -15.8   44.4   -
