02G.OLIVIA
	TS	HU	Wind	Press	Lat	 Long	
28/00	16	4	20	1007	8.6	-68.7	1
28/06	15	4	20	1007	8.8	-69	1A
28/12	17	4	20	1006	9	-69.2	2
28/18	18	4	20	1006	9.3	-69.5	2A
29/00	17	3	20	1007	9.7	-69.8	3
29/06	16	3	20	1008	10.1	-69.9	3A
29/12	15	3	20	1008	10.4	-70	4
29/18	14	3	20	1009	10.5	-70.2	4A
30/00	16	3	20	1007	10.7	-70.1	5
30/06	17	4	20	1007	11	-70.2	5A
30/12	18	4	20	1006	11.4	-69.9	6
30/18	22	4	25	1004	11.6	-69.6	6A
31/00	30	5	30	1001	11.7	-69.5	7
31/06	32	5	30	1001	11.9	-69.3	7A
31/12	36	6	30	1000	12.2	-69.4	8
31/18	40	8	35	999	12.5	-69.7	8A
01/00	46	9	35	998	12.7	-70.1	9
01/06	52	11	40	997	13.1	-70.5	9A
01/12	54	12	40	995	13.5	-70.9	10
01/18	54	12	40	995	14	-71.4	10A
02/00	53	11	40	995	14.3	-71.9	11
02/06	53	11	40	995	14.7	-73	11A
02/12	52	11	40	995	15	-73.7	12
02/18	52	11	40	995	15.2	-75	12A
03/00	52	10	40	995	15.4	-76.3	13
03/06	51	10	40	995	15.8	-77.9	13A
03/12	51	10	40	995	16.2	-79.1	14
03/18	51	10	40	995	16.6	-80.5	14A
04/00	50	10	40	995	17	-82.6	15
04/06	50	10	40	995	17.6	-84	15A
04/12	50	9	40	995	18.3	-84.7	16
04/18	50	9	40	996	19	-85.5	16A
05/00	50	9	40	996	19.6	-86	17
05/06	50	9	40	996	20.4	-86.3	17A
05/12	49	8	40	996	21.4	-86.6	18
05/18	49	8	40	996	22	-87	18A
06/00	50	8	40	995	22.4	-86.6	19
06/06	51	8	40	995	22.6	-86.2	19A
06/12	51	8	40	996	22.9	-86.5	20
06/18	50	8	40	996	23.5	-87.2	20A
07/00	49	7	40	997	23.8	-88.5	21
07/06	49	7	40	997	24.5	-89.7	21A
07/12	48	7	40	997	24.9	-91.4	22
07/18	46	6	40	998	25.4	-92.9	22A
08/00	43	5	40	999	26	-94.4	23
08/06	39	5	35	1000	26.5	-95.8	23A
08/12	33	4	35	1002	27.1	-97.6	24
08/18	21	2	35	1004	27.9	-99.2	24A
09/00	11	1	30	1007	28.8	-100.3	25
