05G.FIVE
	TS	HU	Wind	Press	Lat	Lon	
17/18	27	15	25	1005	4.4	-41.1	1
18/00	45	21	30	1003	4.8	-40.7	1A
18/06	46	21	30	1002	5.2	-40.2	2
18/12	48	20	30	1002	5.5	-39.6	2A
18/18	46	18	30	1003	5.7	-39.1	3
19/00	47	19	30	1003	5.8	-38.8	3A
19/06	46	19	30	1003	5.9	-38.3	4
19/12	44	18	30	1004	6.2	-38.6	4A
19/18	41	15	30	1005	6.6	-38.6	5
20/00	46	17	30	1003	6.8	-38.3	5A
20/06	47	17	30	1003	7.3	-37.7	6
20/12	47	17	30	1003	7.7	-37.1	6A
20/18	47	17	30	1003	8	-36.5	7
21/00	45	15	30	1004	8.5	-36	7A
21/06	43	14	30	1004	8.9	-35.4	8
21/12	41	13	30	1005	9.1	-34.9	8A
21/18	39	12	30	1005	9.4	-34.4	9
22/00	33	6	25	1007	9.8	-33.8	9A
