05N.EDOUARD
Date	TS	HU	Wind	Press	  Lat	  Lon	
13/12	10	05	20  	1007	  11.3  72.7	1
14/18	35	10	25  	1005	  11.8  73.5	1A
14/00	60	15	30  	1002	  12.4	74.2	2
14/06	68	16	30  	1001  	12.8	74.8	2A
14/12	74	18	45  	999	    13.7	75.6	3
14/18	80	20	50  	996	    14.5 	76.3	3A
15/00	90	50	55  	993    	15.2 	77.5	4
15/06	100	80	60  	989	    15.8 	78.2	4A
15/12	100	77	65  	988	    15.9  78.3	5
15/18	100	74	65  	987   	16  	78.4	5A
16/00	100	65	70	  985	    16.4  78.6	6
16/06	100	62	70  	983   	16.5  78.8	6A
16/12	100	57	75	  980	    16.7  79	  7
16/18	100	50	75  	978   	16.9  79.3	7A
17/00	100	60	85  	972   	17.1  79.6	8
17/06	100	65	95  	965    	17.3  79.9	8A
17/12	100	70	105 	959	    17.6  80  	9
17/18	100	75	115	  950    	17.8  80.1	9A
18/00	100	79	120	  946     18    80.3	10
18/06	100	83	125	  938	    18.2	80.3	10A
18/12	100	86	130	  935   	18.4	80.3	11
18/18	100	88	130	  934	    18.5	80.4	11A
19/00 100 84  125   937     18.6  80.5  12
19/06 100 81  115   945     18.8  80.7  12A
19/12 100 75  110   953     19.1  81.0  13
19/18 100 60  100   960     19.4  82.3  13A
20/00 96  50  90    962     19.7  82.6  14
20/06 94  45  95    964     20.2  83.0  14A
20/12 93  30  90    966     20.8  83.5  14
20/18 92  30  85    969     21.7  83.7  14A
21/00 85  30  80    970     22.5  84.2  15
21/06 53  25  75    973     24.3  84.7  15A
21/12 52  20  70    975     25.9  85.4  16
21/18 46  17  60    982     26.1  85.7  16A
22/00 43  00  50    991     26.4  85.7  17
22/06 38  00  40    995     26.6  85.5  17A
22/12 35  00  35    998     26.9  85.1  18
22/18 25  00  30    1001    27.4  84.7  18A
23/00 09  00  30    1003    27.7  84.3  19
23/06 00  00  30    1000    28.0  84.1  19A
23/12 00  00  30    997     28.5  83.9  20
23/18 00  00  30    995     28.9  83.8  20A
