07N.GARRY
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
04/18   20      10      35      1007     11.8    81.2      1
05/00   30      20      40      1006     12.2    81.8      2
05/06   40      30      45      1002     12.3    82.5      3
05/12   60      42      75      999      12.5    83.7      4
05/18   70      60      85      980      12.8    84.2      5
06/00   80      65      90      980      12.9    84.9      6
06/06   90      70      100     974      13.2    85.8      7
06/12   99      80      105     970      15.4    86.7      8
06/18   100     90      115     964      16.5    88.4      9
07/00   100     95      125     944      18.2    89.6      10
07/06   100     97      135     939      19.5    90.7      11
07/12   100     98      140     932      19.6    91.5      12
07/18   100     99      150     915      19.7    92.4      13
08/00   100     100     155     910      20.0    93.7      14
08/06   100     99      155     914      20.5    94.5      15
08/12   100     98      155     916      20.7    95.6      16
08/18   100     94      155     918      21.4    96.3      17
09/00   100     82      145     940      22.2    97.4      18
09/06   90      70      130     950      23.4    98.2      19 
09/12   80      50      110     955      24.7    99.4      20
09/18   70      30      90      970      26.4    100.5     21
10/00   65      20      80      980      27.9    102.6     22
10/06   60      10      80      988      28.5    106.2     23
10/12   60      10      80      990      30.8    110.5     24
10/18   50      20      70      995      32.4    111.9     25
11/00   40      10      50      999      34.6    114.7     26
11/06   30      05      45      1004     36.6    116.4     27
11/12   20      02      35      1005     37.5    118.5     28
11/14   15      00      30      1006     38.4    119.7     28A
11/18   10      00      30      1007     39.5    120.5     29
12/00   09      EX      30      1009     40.0    125.6     30
12/06   06      EX      30      1009     40.6    128.6     31
12/12   05      EX      30      1009     40.9    130.9     32
