08H.MAANIKA
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
10/03   57      00      30      1004    22.0      2.6    1
10/09   69      37      30      1003    22.1      2.8    1A
10/15   75      37      35      1002    22.2      3.0    2
10/21   75      37      35      1004    22.3      3.1    2A
11/03   84      26      40      1000    22.3      3.2    3
11/09   84      24      40      1000    22.3      3.4    3A
11/15   73      09      35      1002    22.4      3.5    4
11/21   99      14      35      1002    22.5      3.6    4A
12/03   99      33      40       999    22.6      3.8    5
12/09   99      54      50       995    22.7      4.1    5A
12/15   99      54      50       995    22.8      4.4    6
12/21   99      79      70       987    22.9      4.7    6A
13/03   99      79      70       987    23.0      5.0    7
13/09   99      79      70       987    23.0      5.2    7A
13/15   99      68      80       980    23.0      5.4    8
13/21   99      62      80       982    23.0      5.6    8A
14/03   99      81      90       976    23.0      5.7    9
14/09   99      81      90       976    23.0      5.9    9A
14/15   99      76     100       975    23.0      6.1    10
14/21   97      57      90       979    23.1      6.4    10A
15/03   92      41      80       987    23.2      6.8    11
15/09   87      26      75       987    23.5      7.2    11A
15/15   81      26      75       987    23.8      7.4    12
15/21   76      26      75       987    24.1      7.5    12A
16/03   74      26      75       985    24.3      7.7    13
16/09   65      14      65       991    24.6      7.8    13A
16/15   60      06      65       991    24.8      7.9    14
16/21   60      06      65       991    24.9      8.0    14A
17/03   60      06      65       992    25.0      8.0    15
17/09   68      24      70       989    25.0      8.1    15A
17/15   70      25      70       990    25.1      8.2    16
17/21   70      25      65       992    25.2      8.3    16A
18/03   70      25      60       994    25.3      8.4    17
18/09   08    	00    	65    	 991  	25.5  	  8.5    17A
18/15   12    	00    	70    	 989  	25.7  	  8.6    18
18/21   15    	00    	75    	 986  	26.1  	  8.8    18A   
19/03   15    	00    	80    	 982  	26.7  	  9.1    19
19/09   17    	00    	80    	 980  	27.2  	  9.6    19A
19/15   18    	00    	80    	 980  	27.7  	  9.8    20
19/21   16    	00    	80    	 983  	28.3  	  10.0   20A
20/03   15    	00    	75    	 985  	29.0  	  10.3   21
20/09   14    	00    	70    	 989  	29.6  	  10.7   21A
20/15   13    	00    	70    	 990  	30.4  	  11.3   22
20/21   12    	00    	65    	 992  	31.5  	  12.1   22A
21/03   10    	00    	60    	 994  	32.5  	  13.2   23
21/09   08    	00    	55    	 995  	33.6  	  14.4   23A
21/15   07    	00    	50    	 996  	34.8  	  15.5   24
21/21   06    	00    	45    	 998  	35.9  	  16.3   24A
22/03   04    	00    	40    	 1000  	37.0  	  17.0   25
22/09   03    	00    	35    	 1001  	38.0  	  18.0   25A
22/15   02    	00    	30    	 1003  	39.5  	  19.5   26
22/21   01    	00    	25    	 1005  	41.0  	  21.0   26A
23/03   00    	00    	20    	 1008  	42.5  	  22.5   27
