13G.VON
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
05/21   84      27      30      1002     4.7    -131.6  1
06/03   84      27      30      1003     4.6    -132.4  1A
06/09   84      27      30      1004     4.6    -132.8  2
06/15   84      27      30      1004     4.6    -132.9  2A
06/21   84      27      30      1004     4.6    -133.0  3
07/03   84      27      30      1001     4.7    -132.8  3A
07/09   84      27      40       999     4.8    -132.4  4
07/15   84      27      40       997     4.8    -132.2  4A
08/09   83      25      45       996     5.2    -132.1  5
08/15   82      22      45       996     5.3    -132.0  5A
08/21   80      22      40       997     5.5    -132.0  6
09/03   81      23      40       996     5.7    -132.3  6A
09/09   83      25      45       994     6.1    -132.8  7
09/15   84      29      50       991     6.6    -133.0  7A
09/21   82      30      50       990     7.1    -132.6  8
10/03   68      14      45       993     7.8    -132.4  8A
10/09   61      08      45       995     8.6    -132.1  9
10/15   54      04      40       998     8.9    -131.7  9A
10/21   51      03      40       998     9.2    -131.2  10
11/03   44      02      35       1000    9.6    -130.5  10A
11/09   34      02      35       1001    10.0   -129.8  11
11/15   31      02      35       1002    10.3   -129.1  11A
12/00   12      01      30       1004    10.5   -128.2  12
12/06   07      01      25       1007    10.6   -127.5  12A
12/12   03      01      20       1010    10.8   -126.1  13
