14D.MARIE
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
04/06   50      LO      35      1008     27.9    147.5  1
04/12   55      15      35      1007     28.0    148.0  1A
04/18   55      15      35      1006     28.2    148.5  2
05/00   55      15      35      1006     28.4    149.0  2A
05/06   60      20      35      1005     28.7    149.5  3
05/12   65      25      40      1005     29.0    150.0  3A
05/18   60      25      40      1004     29.4    150.5  4
06/00   55      30      40      1004     29.8    150.9  4A 
06/06   50      25      40      1003     30.3    151.4  5 
06/12   45      25      45      1003     30.8    151.8  5A
06/18   40      20      45      1002     31.5    152.2  6
07/00   40      20      45      1002     32.1    152.7  6A
07/06   40      15      45      1001     32.8    153.1  7
07/12   35      10      50      1001     33.4    153.6  7A
07/18   30      5       50      1000     34.2    154.0  8
08/00   20      5       50      1000     35.2    154.5  8A
08/06   10      5       50      999      36.2    154.9  9
08/12   5       0       55      999      37.2    155.4  9A
08/18   0       0       50      1000     38.2    155.8  10
09/00   0       0       45      1001     39.4    156.3  10A
09/06   0       BE      35      1004     40.6    156.7  11
09/12   0       EX      25      1007     41.8    157.2  11A
