17G.SEVENTEEN-G
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
20/09   05      00      35      1005    29.2     -3.0    1
20/15   03      00      30      1008    30.3     -2.5    1A
20/21   03      00      30      1008    31.4     -2.0    2
21/03   11      00      35      1005    32.3     -1.6    2A
21/09   21      00      35      1005    33.1     -0.6    3
21/15   34      00      35      1006    34.1      0.6    3A
21/21   23      00      30      1008    35.2      1.6    4
22/03   34      00      35      1005    36.1      2.9    4A
22/09   10      00      25      1011    37.4      3.5    5
22/15   20      00      30      1009    38.4      4.3    5A
22/21   10      00      30      1008    39.4      5.1    6
23/03   00      00      30      1007    40.0      6.1    6A
23/09   00      EX      30      1007    40.4      7.0    7
