21N.ULMA
Date  	TS    	HU    	Wind    Press	   Lat	  Long
15/06   100     00      35      1000	   10.2   59.8    1
15/12   100     30      35      996      10.9   60.5    2
15/18   100     50      40      993      11.4   61.6    3
16/00   100     70      50      990      12.0   62.6    4
16/06   100     90      65      989      12.7   64.0    5
16/12   100     100     60      990      13.5   66.0    6
16/18   100     90      65      989      15.0   69.1    7
17/00   100     80      65      985      17.0   72.5    8
17/06   100     85      65      984      19.6   72.6    9
17/12   100     90      65      985      21.5   72.7    10
17/18   100     95      65      988      26.4   72.7    11
18/00   100     100     65      986      27.5   72.6    12
18/06   100     90      70      981      31.0   71.5    13
18/12   100     80      65      985      34.0   71.0    14
18/18   100     70      70      984      38.0   70.7    15
19/00   100     60      65      988      39.5   69.2    16
19/06   90      40      50      991      40.5   67.9    17
19/12   80      30      45      995      41.7   66.4    18
19/18   60      10      40      996      43.1   63.5    19
20/00   50      00      35      997      43.4   61.5    20
20/06   30      BE      30      998      44.0   60.1    21
20/12   10      BE      30      999      45.5   59.5    22
20/18   10      EX      25      1001     46.1   58.1    23
21/00   00      EX      20      1004     47.4   57.2    24
21/06   00      EX      15      1008     54.6   49.5    25
21/12   00      EX      15      1009     60.2   41.0    26
+6      X       EX      10      1010     69.0   32.4    -
