33N.ZETA
Date  	TS    	HU    	Wind    Press	    Lat	  Long
27/00   30      00      35      1011      50.4  71.2    1
27/06   50      00      35      1009      51.2  71.9    2
27/12   60      00      40      1007      51.6  72.5    3
27/18   70      00      40      1004      51.9  72.9    4
28/00   90      00      45      1001      52.4  73.4    5
28/06   100     40      60      999       54.0  74.0    6
28/12   100     70      70      998       55.2  75.1    7
28/18   100     90      75      991       55.9  76.0    8
29/00   100     70      75      992       56.2  77.2    9
29/06   100     60      70      994       57.0  78.0    10
29/12   100     50      65      995       58.7  78.7    11
29/18   100     40      60      997       59.5  79.9    12
30/00   100     BE      50      999       60.2  80.4    13
30/06   80      BE      45      1000      60.9  82.0    14
30/12   60      EX      40      1002      61.5  84.6    15
30/18   40      EX      40      1005      63.5  86.5    16
01/00   20      EX      35      1009      64.0  89.1    17
01/06   10      EX      40      1005      65.6  91.5    18
01/12   00      EX      35      1010      66.7  93.5    19
01/18   00      EX      20      1015      67.9  95.6    20
