01G.ALAN
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
13/06   20      LO      30      1010     2.8     -69.5    1
13/12   50      LO      30      1008     2.9     -69.2    2
13/18   80      LO      35      1006     3.1     -68.7    3
14/00   100     LO      40      1004     3.3     -68.2    4
14/06   100     LO      40      1005     3.5     -67.8    5
14/12   100     LO      35      1006     3.7     -67.4    6
14/18   100     LO      35      1007     3.9     -66.9    7
15/00   100     LO      35      1007     4.0     -66.5    8
15/06   100     LO      35      1005     4.2     -66.0    9
15/12   99      07      40      1004     4.6     -65.5    10
15/18   99      13      45      1002     5.1     -65.1    11
16/00   99      13      50      1000     5.6     -65.0    12
16/06   99      17      50       998     6.0     -64.9    13
16/12   99      17      50       998     6.3     -64.9    14
16/18   99      17      50       997     6.6     -65.0    15
17/00   99      17      60       995     6.8     -65.2    16
17/06   99      89      65       994     6.9     -65.6    17
17/12   99      89      60       998     7.0     -65.8    18
17/18   99      89      50      1002     7.1     -66.1    19
18/00   99      89      40      1006     7.1     -66.4    20
18/06   99      89      30      1010     7.2     -66.6    21
18/12   10      LO      25      1014     7.3     -66.8    22
18/18   00      LO      15      1016     7.4     -67.0    23
