01N.ONE-N
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
10/12   80      LO      30      1008    11.8    83.3     1
10/18   90      LO      30      1006    11.9    84.4     2
11/00   90      LO      30      1007    12.4    85.5     3
11/06   90      LO      35      1005    12.4    86.8     4
11/12   100     LO      35      1007    12.4    88.1     5
11/18   100     LO      35      1006    13.0    89.5     6
12/00   100     LO      35      1005    13.9    90.4     7
12/06   90      LO      30      1008    15.0    91.1     8
12/12   50      LO      30      1010    16.1    91.8     9
12/18   50      LO      30      1011    17.2    92.5    10
13/00   50      LO      30      1011    18.4    93.2    11
13/06   70      LO      30      1009    19.8    93.9    12
13/12   50      01      35      1007    21.2    94.6    13
13/18   77      01      35      1005    22.5    95.2    14
14/00   77      02      35      1005    23.9    95.1    15
14/06   22      00      35      1007    25.5    94.9    16
