02G.CESAR-BEATRICE
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
27/18   10      LO      25      1014     18.3    -66.4     1
28/00   30      LO      30      1012     18.6    -66.7     2
28/06   50      LO      35      1010     18.8    -66.9     3
28/12   80      LO      35      1008     19.1    -67.0     4
28/18   99      00      40      1006     19.5    -66.9     5
29/00   99      00      40      1004     19.9    -66.5     6
29/06   99      00      40      1002     20.2    -66.0     7
29/12   99      00      40      1000     20.9    -65.6     8
29/18   99      13      45      998      21.7    -65.1     9
30/00   99      16      45      996      22.4    -64.4     10
30/06   99      24      50      994      22.9    -62.9     11
30/12   99      37      60      990      23.7    -62.1     12
30/18   99      44      60      986      24.6    -61.3     13
01/00   99      56      65      982      25.5    -60.3     14
01/06   99      47      60      985      26.8    -59.8     15
01/12   99      44      60      985      27.8    -58.5     16
01/18   99      50      65      981      29.3    -57.9     17
02/00   99      EX      70      977      30.9    -57.4     18
