02N.DIANA
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
03/00   40      LO      25      1000     12.5   100.5    1
03/06   60      LO      30       998     13.2   100.2    1A
03/12   80      LO      35       996     13.9    99.9    2
03/18   90      00      35       994     14.7    99.5    2A
04/00   99      00      35       990     15.6    99.4    3
04/06   99      02      40       986     16.6    99.2    3A
04/12   99      05      40       982     17.5    99.1    4
04/18   99      27      50       974     18.2    98.6    4A
05/00   99      99      95       958     18.9    98.1    5
05/06   99      99      80       955     19.4    97.5    5A
05/12   99      99      75       961     20.0    97.0    6
05/18   99      99      70       965     20.4    96.6    6A
06/00   98    	80    	65    	 967  	 20.8  	 96.0    7
06/06   98    	65    	60    	 969  	 21.2  	 95.8    7A
06/12   90    	50    	55    	 971  	 21.6  	 95.6    8
06/18   80    	40    	50    	 973  	 22.0  	 95.4    8A
07/00   60    	10    	45    	 976  	 22.4  	 95.2    9
07/06   50    	04    	40    	 982  	 22.8  	 95.0    9A
07/12   30    	01    	40    	 985  	 23.3  	 94.7    10
07/18   30    	00    	35    	 991  	 23.6  	 94.4    10A
08/00   20    	00    	35    	 991  	 24.2  	 93.8    11
08/06   20    	00    	35    	 994  	 24.7  	 93.3    11A
08/12   10    	00    	30    	 997  	 25.3  	 93.0    12
