03G.ELIAS
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
05/12   20      LO      15      1012      17.2    -78.0     1
05/18   30      LO      15      1011      17.6    -78.3     2
06/00   30      LO      15      1011      18.0    -78.3     3
06/06   50      LO      25      1009      18.5    -78.0     4
06/12   80      LO      30      1007      18.8    -77.1     5
06/16   99      05      35      1005      19.1    -76.4     6
07/00   99      13      40      1003      19.2    -75.7     7
07/06   99      24      45      1001      19.5    -75.1     8
07/12   99      34      50      999       20.1    -74.5     9
07/18   99      48      50      997       20.7    -74.2     10
08/00   99      77      60      994       22.0    -74.0     11
08/06   99      87      65      991       23.2    -73.9     12
08/12   99      97      70      986       24.3    -73.9     13
08/18   99      99      70      983       25.3    -74.1     14
09/00   99      97      75      979       26.3    -74.3     15
09/06   99      89      75      978       27.3    -74.5     16
09/12   99      84      75      977       28.3    -74.7     17
09/18   99      81      75      977       29.3    -74.8     18
10/00   99      74      75      977       30.4    -74.9     19
10/06   99      63      75      978       31.4    -75.2     20
10/12   99      49      70      980       32.6    -75.5     21
10/18   99      31      70      981       33.7    -75.8     22
11/00   99      17      65      983       34.8    -76.5     23
11/06   99      EX      65      984       35.9    -77.2     24
