03H.CECIL
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
13/06   50      LO      25      1013      8.4     -6.8      1
13/12   20      LO      25      1015      8.5     -6.9      2  
13/18   40      LO      30      1013      8.3     -6.9      3
14/00   99      00      35      1011      8.1     -6.5      4
14/06   99      03      40      1009      7.9     -6.2      5
14/12   99      05      45      1007      7.7     -5.9      6
14/18   99      07      50      1005      7.4     -5.7      7
15/00   99      02      50      1005      7.1     -5.6      8
15/06   99      01      50      1005      6.8     -5.5      9
15/12   99      01      45      1004      6.4     -5.4      10
15/18   99      03      45      1003      6.0     -5.3      11
16/00   99      03      45      1003      5.6     -6.2      12
16/06   99      03      45      1003      5.2     -7.0      13
16/12   99      01      45      1003      5.2     -7.8      14
16/18   99      01      45      1003      5.2     -8.6      15
17/00   99      01      50      1004      5.2     -9.4      16
17/06   99      01      50      1005      5.6     -10.2     17
17/12   99      01      50      1005      6.1     -11.0     18
17/18   99      01      50      1004      6.6     -11.8     19
18/00   99      13      60      1002      7.3     -13.2     20
18/06   99      21      60      1001      8.0     -14.6     21
18/12   99      23      60      1001      8.8     -15.9     22
18/18   99      23      60      1001      9.8     -17.3     23
19/00   99      31      60      999       10.7    -18.6     24
19/06   99      49      70      997       13.7    -20.3     25
19/12   99      99      75      995       17.0    -21.9     26
19/18   99      99      80      990       19.9    -23.1     27
20/00   99      99      65      998       23.1    -24.4     28
20/06   99      76      65      995       26.0    -25.8     29
20/12   94      21      65      995       28.5    -27.2     30
20/18   88      00      60      998       30.9    -28.5     31
21/00   54      00      45      1000      32.5    -29.8     32
21/06   11      00      40      1002      34.1    -31.4     33
21/12   00      EX      30      1006      35.6    -32.4     34
21/18   00      EX      40      997       37.2    -32.8     35
22/00   00      EX      40      998       39.9    -33.2     36
22/06   00      EX      60      988       41.8    -33.7     37
22/12   00      EX      50      995       42.7    -34.3     38
22/18   00      EX      60      989       43.5    -34.8     39
