03N.EDWIN
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
10/12   20      LO      25      1002     15.1     73.5    1
10/18   30      LO      30      1000     15.5     74.2    2
11/00   30      LO      35      1000     15.8     74.9    3
11/06   30      00      40      998     16.1      76.0    4
11/12   50      00      40      996     16.3      77.1    5
11/18   80      00      45      994     16.4      78.3    6
12/00   99      00      50      990     16.8      79.4    7
12/06   99      00      60      988     17.4      80.4    8
12/12   99      07      65      985     18.1      81.4    9
12/18   99      13      65      983     19.3      82.4    10
13/00   99      17      70      981     20.1      83.5    11
13/06   86      00      80      976     20.8      84.7    12
13/12   54      00      85      973     21.6      85.9    13
13/18   99      23      50      987     22.4      87.2    14
14/00   99      34      45      994     21.1      88.6    15
14/06   99      46      50      990     20.0      89.7    16
14/12   99      51      60      988     19.2      90.9    17
14/18   99      86      65      984     18.5      92.2    18
15/00   99      91      70      981     17.8      93.6    19
15/06   99      88      70      981     17.2      95.0    20
15/12   99      88      70      981     16.6      96.3    21
15/18   99      99      75      978     15.9      97.5    22
16/00   99      99      75      975     15.1      98.7    23
16/06   99      99      80      972     15.1      99.9    24
16/12   99      96      80      969     15.3      100.9   25
16/18   99      91      85      967     15.6      102.2   26
