03T.CATIA
Date  	TS    	HU    	Wind    Press	   Lat	  Long
03/06   00      LO      25      1011   -10.7   -10.2     1
03/12   00      LO      25      1011   -10.9   -12.8     1A
03/18   00      LO      25      1011   -11.0   -14.0     2
04/00   00      LO      25      1011   -11.2   -15.3     2A
04/06   00      LO      25      1011   -11.4   -16.5     3
04/12   00      LO      25      1010   -11.5   -17.7     3A
04/18   10      LO      25      1009   -11.7   -18.6     4
05/00   10      LO      30      1009   -11.8   -19.5     4A
05/06   20      LO      30      1009   -11.9   -20.2     5
05/12   20      LO      30      1009   -12.0   -20.8     5A
05/18   20      LO      30      1008   -12.3   -21.8     6
06/00   30      LO      30      1008   -12.7   -22.9     6A
06/06   40      LO      35      1006   -13.1   -24.0     7
06/12   60      00      35      1004   -13.2   -25.2     7A
06/18   80      00      35      1002   -13.4   -26.5     8
07/00   80      00      35      1000   -13.9   -27.5     8A
07/06   80      00      35      1000   -14.7   -29.0     9
07/12   90      00      35      1000   -15.4   -30.8     9A
07/18   90      00      35      1000   -15.8   -32.6     10
08/00   90      00      35      999    -16.3   -34.4     10A
08/06   90      00      35      999    -16.4   -36.4     11
08/12   90      00      35      1000   -16.6   -38.4     11A
08/18   90    	00    	40    	999    -16.8   -40.3     12
09/00   80    	00    	40    	999    -17.0   -42.3     12A
09/06   80    	00    	45    	998    -17.7   -44.4     13
09/12   80    	00    	45    	997    -18.4   -46.2     13A
09/18   70    	00    	50    	996    -18.8   -47.9     14
10/00   80    	00    	55    	995    -19.1   -49.4     14A
10/06   80    	00    	55    	995    -19.4   -50.7     15
10/12   80    	00    	60    	993    -19.9   -51.6     15A
10/18   90    	00    	65    	990    -20.6   -52.2     16
11/00   90    	00    	70    	988    -21.1   -52.9     16A
11/06   90    	00    	75    	984    -21.4   -53.7     17
11/12   90    	00    	75    	984    -22.6   -53.9     17A
11/18   80    	00    	70    	987    -23.0   -54.2     18
12/00   80    	00    	65    	989    -24.6   -54.5     18A
12/06   80    	00    	60    	993    -25.8   -54.0     19
12/12   70    	00    	55    	995    -26.0   -53.9     19A
12/18   50    	00    	45    	997    -26.5   -52.0     20
13/00   40    	00    	40    	999    -27.0   -51.0     20A
13/06   40    	00    	40    	999    -27.8   -50.0     21
13/12   30    	00    	35    	1000   -28.0   -48.0     21A
13/18   30    	00    	35    	1000   -28.5   -46.5     22
14/00   30    	00    	30    	1002   -29.0   -45.0     22A
14/06   30    	00    	30    	1002   -29.3   -43.0     23
14/12   10    	00    	25    	1005   -29.7   -43.0     23A
14/18   10    	00    	25    	1005   -29.9   -45.0     24
