04D.DIANTHA
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
18/00   30      LO      15      1006      20.4    154.2     1
18/06   30      LO      15      1006      20.4    153.8     2
18/12   40      LO      15      1004      20.4    153.4     3
18/18   50      LO      15      1002      20.5    153.6     4
19/00   50      LO      15      1001      20.7    153.8     5
19/06   70      LO      25      999       20.8    153.9     6
19/12   80      00      30      997       21.1    154.0     7
19/18   90      05      40      994       21.8    154.3     8
20/00   99      10      45      992       22.4    154.5     9
20/06   99      15      50      988       23.0    154.5     10
20/12   99      25      50      986       23.6    154.4     11
20/18   99      35      60      981       24.3    154.1     12
21/00   99      45      65      977       24.9    154.3     13
21/06   99      75      70      976       25.5    154.6     14
21/12   99      85      70      974       26.1    155.6     15
21/18   99      95      75      973       26.7    157.0     16
22/00   99      99      80      971       27.3    158.7     17
22/06   99      95      80      971       28.0    160.3     18
22/12   99      65      75      971       28.6    161.5     19
22/18   80      25      70      973       29.2    162.0     20
23/00   30      00      50      985       29.3    161.4     21
23/06   10      00      35      995       29.4    160.4     22
23/12   30      00      30      998       29.5    159.0     23
23/18   30      00      30      998       29.6    157.7     24
24/00   30      00      30      998       29.7    156.4     25
24/06   50      00      30      997       29.7    155.2     26
24/12   60      00      30      996       29.7    154.2     27
24/18   00      EX      25      999       29.7    153.4     28
