04H.DINORAH
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
22/00   30      LO      30      1010      15.2    -57.3     1
22/06   80      LO      35      1008      15.1    -58.3     2
22/12   99      04      35      1006      15.0    -59.2     3
22/18   99      12      40      1004      14.8    -60.1     4
23/00   99      13      45      1004      14.6    -60.9     5
23/06   99      14      45      1003      14.2    -61.7     6
23/12   99      21      50      1001      13.4    -62.3     7
23/18   99      25      50      1000      12.5    -62.6     8
24/00   99      52      50      999       11.9    -62.9     9
24/06   99      77      60      997       11.4    -63.5     10
24/12   99      84      65      994       10.6    -64.1     11
24/18   99      99      70      990       9.8     -64.9     12
25/00   99      99      75      987       9.1     -65.2     13
25/06   99      99      80      984       8.4     -65.4     14
25/12   99      99      80      983       8.2     -65.4     15
25/18   99      99      80      979       8.1     -65.3     16
26/00   99      99      85      978       8.3     -65.0     17
26/06   99      99      85      975       8.7     -64.6     18
26/12   99      99      90      973       9.2     -64.0     19
26/18   99      99      90      972       10.0    -63.6     20
27/00   99      99      90      971       10.9    -63.0     21
27/06   99      99      100     969       11.9    -62.6     22
27/12   99      99      100     968       12.9    -62.2     23
