05H.RAAPUT
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
24/12   20      LO      25      1012      2.5     17.1      1
24/18   40      LO      30      1012      2.5     17.2      2
25/00   70      LO      35      1011      2.6     17.2      3
25/06   99      04      35      1010      2.7     17.2      4
25/12   99      12      40      1008      2.8     16.5      5
25/18   99      21      45      1007      2.9     15.8      6
26/00   99      32      50      1006      3.3     15.2      7
26/06   99      37      50      1004      3.7     14.7      8
26/12   99      51      60      1003      4.5     14.2      9
26/18   99      57      60      1002      5.2     13.7      10
