05N.GASTON
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
11/00   80      LO      15      1006      14.0    72.6    1
11/06   99      10      30      1002      14.7    73.0    2
11/12   99      40      40      998       16.0    73.1    3
11/18   99      70      50      994       17.4    73.3    4
12/00   99      99      60      986       18.6    73.6    5
12/06   99      99      70      978       19.5    73.8    6
12/12   99      99      80      968       20.0    73.8    7
12/18   99      99      90      959       20.1    73.6    8
13/00   99      99      100     951       19.9    73.1    9
13/06   99      99      115     943       19.3    72.2    10
13/12   99      99      120     937       18.4    71.0    11
13/18   99      99      130     932       17.6    69.2    12
14/00   99      99      145     926       17.0    66.7    13
14/06   99      99      150     921       16.5    63.8    14
