06D.FRANCES
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
29/18   40      LO      25      1000      19.9    166.4   1
30/00   40      LO      25      1000      20.1    167.0   2
30/06   70      00      35      997       20.2    167.9   3 
30/12   90      00      35      994       20.1    168.9   4
30/18   99      15      40      991       20.0    170.0   5
31/00   99      20      45      990       19.8    171.0   6
31/06   99      25      45      991       19.4    172.1   7
31/12   99      25      45      991       19.2    173.0   8
31/18   99      30      45      991       19.3    173.9   9
01/00   90      35      45      991       19.3    174.7   10
01/06   90      00      45      991       19.3    175.4   11
