06G.HILDA
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
03/06   50      LO      25      1012      11.2    -92.6   1
03/12   80      LO      30      1010      11.6    -92.6   2
03/18   99      00      35      1007      12.1    -92.7   3
04/00   99      00      40      1004      12.6    -92.7   4
04/06   99      00      45      1002      13.0    -92.7   5
04/12   99      00      45      1002      13.3    -92.7   6
04/18   99      00      45      1001      13.6    -92.6   7
05/00   99      10      50      999       13.9    -92.5   8
05/06   99      15      50      999       14.2    -92.3   9
05/12   99      20      50      998       14.6    -92.1   10
05/18   99      05      45      1001      15.2    -91.8   11
06/00   95      00      45      1002      15.9    -91.4   12
06/06   50      00      40      1006      16.8    -91.0   13
06/12   50      00      40      1005      17.8    -90.6   14
06/18   50      00      40      1005      18.8    -90.2   15
07/00   50      00      35      1006      19.8    -89.8   16
07/06   00      EX      30      1009      20.8    -89.4   17
07/12   00      EX      35      1006      21.7    -89.0   18
07/18   00      EX      30      1010      22.5    -88.7   19
