06H.DAYSI
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
29/18   20      LO      20      1013      12.8    -32.2     1
30/00   10      LO      20      1014      13.2    -33.0     2
30/06   10      LO      15      1015      13.7    -34.0     3
30/12   20      LO      20      1013      14.6    -34.7     4
30/18   60      LO      25      1011      15.8    -35.3     5
31/00   90      00      30      1009      17.2    -35.8     6
31/06   99      07      40      1008      19.4    -36.2     7
31/12   99      00      45      1006      19.8    -36.3     8
31/18   99      00      50      1004      19.6    -36.4     9
01/00   99      09      50      1002      19.0    -36.4     10
01/06   99      17      60      1001      16.5    -36.0     11
01/12   99      23      60      1000      15.0    -35.7     12
01/18   99      37      60      999       13.6    -35.4     13
02/00   99      51      60      997       12.3    -35.1     14
02/06   99      67      65      996       11.1    -34.8     15
02/12   99      89      70      993       9.8     -33.8     16
02/18   99      99      80      987       9.0     -33.0     17
03/00   99      99      80      985       8.1     -32.3     18
03/06   99      99      80      984       7.2     -31.7     19
03/12   99      99      85      983       6.6     -31.1     20
03/18   99      99      90      978       6.3     -30.5     21
04/00   99      99      100     972       6.5     -29.9     22
04/06   99      99      105     969       6.9     -29.4     23
04/12   99      99      105     965       7.3     -28.9     24
04/18   99      99      115     957       7.7     -28.4     25
05/00   99      99      120     950       8.1     -27.6     26
05/06   99      99      130     945       9.4     -26.9     27
05/12   99      99      140     940       11.1    -26.6     28
05/18   99      99      150     932       12.4    -27.2     29
06/00   99      99      155     923       13.6    -28.7     30
06/06   99      96      160     917       14.7    -30.3     31
06/12   99      73      160     916       15.9    -31.5     32
06/18   99      54      120     938       17.9    -32.6     33
07/00   99      31      105     955       19.5    -33.6     34
07/06   99      57      105     965       21.5    -34.5     35
07/12   99      64      105     967       23.1    -35.8     36
07/18   99      60      100     967       24.7    -37.0     37
08/00   99      51      90      969       26.1    -38.4     38
08/06   99      44      85      972       27.4    -39.3     39
08/12   99      29      75      978       28.5    -40.2     40
08/18   74      00      65      986       29.6    -41.1     41
09/00   36      00      50      993       30.6    -41.9     42
