07D.GREG
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
17/00   20      LO      30      1011     20.3    173.3     1
17/12   50      LO      30      1009     20.4    172.7     2
18/00   65      LO      35      1008     20.5    172.5     3
18/12   80      LO      40      1005     20.6    172.4     4
19/00   90      LO      40      1003     20.6    172.2     5
19/12   90      LO      40      1004     20.7    171.9     6
19/18   99      05      45      1003     20.7    171.7     6A
20/00   99      20      50      998      20.7    171.4     7 
20/06   99      30      50      997      20.8    171.3     7A
20/12   99      40      60      995      20.8    171.1     8
20/18   99      45      65      992      21.0    171.1     8A
21/00   99      50      65      990      21.2    170.9     9
21/06   99      50      65      988      21.4    170.7     9A
21/12   99      55      70      987      21.5    170.4     10
21/18   99      60      75      985      21.7    170.3     10A
22/00   99      65      75      984      21.9    170.4     11
22/06   99      60      80      983      22.2    170.2     11A
22/12   99      60      80      982      22.4    170.1     12
22/18   99      55      80      983      22.6    170.2     12A 
23/00   90      50      80      984      22.6    170.1     13
23/06   90      45      75      986      22.7    170.0     13A
23/12   90      40      75      988      22.8    169.9     14
23/18   85      40      70      990      22.8    169.8     14A  
24/00   85      45      80      984      22.8    169.7     15
24/06   80      45      90      977      22.9    169.6     15A
24/12   75      40      100     974      22.9    169.5     16
24/18   70      35      90      979      23.0    169.4     16A
25/00   65      30      85      983      23.0    169.5     17
25/06   55      20      80      985      23.1    169.6     17A
25/12   50      15      75      987      23.1    169.7     18
25/18   45      10      75      989      23.2    169.8     18A
26/00   40      00      70      991      23.3    170.0     19
26/06   30      00      70      992      23.3    170.1     19A
26/12   30      00      65      993      23.3    170.2     20
26/18   25      00      60      994      23.4    170.3     20A
27/00   30      00      60      993      23.5    170.2     21
27/06   35      00      60      993      23.6    170.1     21A
27/12   30      00      60      994      23.8    170.2     22
27/18   20      00      50      997      24.1    170.4     22A
28/00   15      00      50      996      24.5    170.6     23
28/06   15      00      45      999      25.1    170.9     23A
28/12   15      00      45      1000     25.7    170.9     24
28/18   45      00      40      1001     26.2    170.7     24A
29/00   15      00      40      998      26.7    170.5     25
29/06   10      00      45      994      27.3    170.3     25A
29/12   10      SS      50      990      27.8    170.1     26   
29/18   10      SS      60      984      28.3    169.9     26A
+12     X       SS      70      980      29.3    169.5
+24     X       SS      70      975      32.3    169.7
+36     X       BE      50      977      35.0    170.3
+48     X       EX      40      981      39.6    172.0
