07G.IGOR
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
05/06   50      LO      20      1012      15.5    -63.4   1
05/12   99      00      30      1009      16.0    -64.0   2
05/18   99      20      40      1005      16.6    -64.6   3
06/00   99      30      45      1001      17.3    -65.2   4
06/06   99      40      50      998       18.1    -65.7   5
06/12   99      50      60      995       19.0    -66.1   6
06/18   99      70      65      992       20.0    -66.4   7
07/00   99      75      65      990       21.1    -66.5   8
07/06   99      80      65      989       22.2    -66.4   9
07/12   99      90      70      985       23.3    -66.3   10
07/18   99      99      75      980       24.2    -66.3   11
08/00   99      99      80      975       24.9    -66.3   12
08/06   99      99      80      974       25.4    -66.4   13
08/12   99      99      80      973       25.9    -66.5   14
08/18   99      99      75      975       26.1    -66.7   15
