07H.SAAN
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
11/06   80      LO      30      1010      8.1     37.7      1
11/12   99      00      35      1008      8.3     37.9      2
11/18   99      07      40      1006      8.5     38.3      3
12/00   99      14      45      1004      8.8     38.7      4
12/06   99      22      50      1002      9.2     39.2      5
12/12   99      37      60      1000      9.9     39.9      6
12/18   99      46      65      998       10.4    40.9      7
13/00   99      57      65      996       11.1    42.2      8
13/06   99      61      65      995       11.6    43.3      9
13/12   99      79      70      993       12.0    44.4      10
13/18   99      88      75      989       12.6    45.7      11
14/00   99      99      80      983       13.1    46.9      12
14/06   99      99      85      980       13.6    48.1      13
14/12   99      99      85      979       14.3    49.2      14
14/18   99      99      85      978       14.9    50.2      15
15/00   99      99      85      976       15.5    51.2      16
15/06   99      99      85      975       16.0    52.2      17
15/12   99      99      90      972       16.4    53.1      18
15/18   99      99      90      971       16.8    53.9      19
16/00   99      99      90      971       17.2    54.6      20
16/06   99      99      90      970       17.6    55.1      21
16/12   99      99      90      969       18.0    55.9      22
16/18   99      99      90      968       18.4    56.7      23
17/00   99      99      90      969       18.8    57.7      24
17/06   99      99      90      969       19.3    58.6      25
17/12   99      99      90      969       19.9    59.5      26
17/18   99      99      90      970       20.7    60.3      27
