09H.TAILA
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
24/12   20      LO      15      1008      28.4    55.4    1
24/18   70      LO      25      1005      28.9    55.9    2
25/00   80      00      30      1003      29.4    56.4    3
25/06   80      00      30      1002      29.7    57.0    4
25/12   90      00      35      1000      29.8    57.8    5
25/18   99      00      40      998       29.7    58.6    6
+12     08    	00    	50    	994   	  28.9  	59.5    -
+24     12    	00    	60    	990   	  27.7  	60.0    -
+36     15    	00    	65    	986   	  26.7  	59.8    -
+48     15      00      70      982       26.2    59.3    -
+60     17    	00    	75    	979   	  26.2  	58.8    -
+72     18    	00    	75    	977   	  26.6  	58.1    -
