50G.TEST
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
09/00   20      LO      25      1004    8.1    -108.0     1
09/06   20      LO      30      1002    7.8    -108.3     2
09/12   20      00      35      1000    7.6    -108.5     3
09/18   20      00      40      998     7.5    -108.6     4
10/00   20      00      45      996     7.6    -108.5     5
10/06   20      00      50      994     7.9    -108.2     6
10/12   20      00      60      990     9.0    -107.1     7
10/18   20      00      75      986     10.5    -105.6    8
11/00   20      00      90      973     11.5    -104.6    9
11/06   20      00      110     959     12.3    -103.8    10
11/12   20      00      130     943     13.0    -103.8    11
11/18   20      00      150     931     13.7    -104.0    12
12/00   20      00      175     918     15.0    -104.3    13
12/06   20      00      175     915     16.8    -104.6    14
12/12   20      00      165     920     19.4    -104.8    15
12/18   20      00      140     930     24.9    -105.0    16
13/00   20      00      120     940     30.1    -105.3    17
13/06   20      00      100     950     35.5    -105.7    18
13/12   20      00      75      970     41.0    -106.2    19
13/18   20      EX      40      985     46.6    -106.8    20
