11L    JOAQUIN 151010 1800  42.8N   12.9W ATL   30   998
11L    JOAQUIN 151010 1200  43.0N   13.9W ATL   35   996
11L    JOAQUIN 151010 0600  43.4N   15.0W ATL   35   993
11L    JOAQUIN 151010 0000  43.8N   16.4W ATL   35   992
11L    JOAQUIN 151009 1800  44.1N   18.2W ATL   40   989
11L    JOAQUIN 151009 1200  44.2N   20.1W ATL   45   988
11L    JOAQUIN 151009 0600  44.1N   21.9W ATL   45   988
11L    JOAQUIN 151009 0000  44.0N   23.8W ATL   40   987
11L    JOAQUIN 151008 1800  43.5N   27.3W ATL   45   984
11L    JOAQUIN 151008 1200  43.0N   31.0W ATL   45   980
11L    JOAQUIN 151008 0600  42.5N   35.0W ATL   50   977
11L    JOAQUIN 151008 0600  42.5N   35.0W ATL   50   977
11L    JOAQUIN 151008 0000  41.9N   39.1W ATL   55   977
11L    JOAQUIN 151008 0000  41.9N   39.1W ATL   55   977
11L    JOAQUIN 151007 1800  41.4N   43.3W ATL   60   977
11L    JOAQUIN 151007 1800  41.4N   43.3W ATL   60   977
11L    JOAQUIN 151007 1200  41.0N   47.5W ATL   60   977
11L    JOAQUIN 151007 1200  41.0N   47.5W ATL   60   977
11L    JOAQUIN 151007 0600  40.2N   51.5W ATL   65   977
11L    JOAQUIN 151007 0600  40.2N   51.5W ATL   65   977
11L    JOAQUIN 151007 0600  40.2N   51.5W ATL   65   977
11L    JOAQUIN 151007 0000  39.6N   54.9W ATL   70   974
11L    JOAQUIN 151007 0000  39.6N   54.9W ATL   70   974
11L    JOAQUIN 151007 0000  39.6N   54.9W ATL   70   974
11L    JOAQUIN 151006 1800  38.8N   58.0W ATL   70   974
11L    JOAQUIN 151006 1800  38.8N   58.0W ATL   70   974
11L    JOAQUIN 151006 1800  38.8N   58.0W ATL   70   974
11L    JOAQUIN 151006 1200  37.9N   60.4W ATL   70   974
11L    JOAQUIN 151006 1200  37.9N   60.4W ATL   70   974
11L    JOAQUIN 151006 1200  37.9N   60.4W ATL   70   974
11L    JOAQUIN 151006 0600  37.0N   62.3W ATL   75   970
11L    JOAQUIN 151006 0600  37.0N   62.3W ATL   75   970
11L    JOAQUIN 151006 0600  37.0N   62.3W ATL   75   970
11L    JOAQUIN 151006 0000  36.2N   63.6W ATL   75   970
11L    JOAQUIN 151006 0000  36.2N   63.6W ATL   75   970
